F1,F2,F3,F4,F5,ID,X,Y,Class
-84.762809,31.187097,4.9,10.0,55.997,122,713182.953548,3452493.20494,0
-84.76282,31.187122,3.9,8.3,55.93,123,713181.917098,3452495.89026,0
-84.762829,31.187147,4.6,8.9,55.908,124,713180.993005,3452498.67767,0
-84.762838,31.187172,3.8,8.3,55.87,125,713180.050972,3452501.40926,0
-84.762847,31.187197,3.8,8.8,55.811,126,713179.156147,3452504.16398,0
-84.762855,31.187221,3.3,8.4,55.752,127,713178.290365,3452506.89712,0
-84.762864,31.187247,3.6,7.6,55.673,128,713177.414379,3452509.66332,0
-84.762872,31.187272,3.0,7.6,55.634,129,713176.576518,3452512.43029,0
-84.762881,31.187297,3.2,6.6,55.595,130,713175.672164,3452515.18482,0
-84.762889,31.187322,2.8,6.4,55.555,131,713174.824773,3452517.9516,0
-84.762898,31.187347,2.7,6.1,55.483,132,713173.949461,3452520.68454,0
-84.762907,31.187372,2.6,6.3,55.467,133,713173.054639,3452523.43927,0
-84.762915,31.187397,2.3,5.9,55.436,134,713172.254906,3452526.20701,0
-84.762923,31.187421,2.6,6.2,55.402,135,713171.351226,3452528.92829,0
-84.762933,31.187446,2.6,6.4,55.373,136,713170.418504,3452531.67116,0
-84.762941,31.187471,3.4,6.6,55.328,137,713169.54297,3452534.41518,0
-84.76295,31.187496,2.3,5.9,55.267,138,713168.658354,3452537.13684,0
-84.762959,31.187521,2.2,5.7,55.23,139,713167.744696,3452539.8801,0
-84.762967,31.187546,2.1,5.1,55.17,140,713166.888002,3452542.6356,1
-84.762976,31.187571,1.3,3.9,55.204,141,713165.963468,3452545.44518,1
-84.762985,31.187596,1.4,4.1,55.151,142,713165.049362,3452548.21061,1
-84.762995,31.187621,1.5,3.6,55.116,143,713164.087601,3452550.97508,1
-84.763005,31.187647,1.4,3.8,55.073,144,713163.106778,3452553.73916,1
-84.763014,31.187671,1.4,3.4,55.05,145,713162.116872,3452556.48087,1
-84.763023,31.187696,1.5,3.3,54.961,146,713161.222055,3452559.2356,1
-84.763032,31.187722,1.3,3.6,54.938,147,713160.364018,3452562.05762,1
-84.76304,31.187747,1.4,3.6,54.877,148,713159.563617,3452564.85862,1
-84.763048,31.187773,1.4,3.9,54.836,149,713158.724419,3452567.69212,1
-84.763056,31.187799,1.5,4.2,54.814,150,713157.866608,3452570.50305,1
-84.763064,31.187824,1.7,4.7,54.748,151,713157.037839,3452573.29239,1
-84.763073,31.187849,1.8,4.9,54.684,152,713156.189783,3452576.09243,1
-84.76308,31.187875,2.0,5.7,54.654,153,713155.379405,3452578.91542,1
-84.763089,31.1879,2.1,6.5,54.62,154,713154.512287,3452581.71507,0
-84.763098,31.187925,2.5,7.5,54.603,155,713153.617026,3452584.49197,0
-84.763106,31.187951,2.3,7.3,54.551,156,713152.741051,3452587.25818,0
-84.763115,31.187976,2.6,8.3,54.534,157,713151.807216,3452590.05648,0
-84.763124,31.188,4.3,9.1,54.479,158,713150.91375,3452592.74469,0
-84.763133,31.188025,5.2,11.1,54.498,159,713150.019835,3452595.45507,0
-84.763141,31.18805,5.7,10.2,54.545,160,713149.201498,3452598.20026,0
-84.76315,31.188075,5.3,10.4,54.63,161,713148.307135,3452600.93281,0
-84.763158,31.188099,4.5,8.9,54.653,162,713147.470409,3452603.64435,0
-84.763167,31.188124,3.7,8.2,54.74,163,713146.566516,3452606.37671,0
-84.763176,31.188149,3.9,8.1,54.762,164,713145.681013,3452609.14272,0
-84.763184,31.188175,4.2,8.3,54.837,165,713144.823432,3452611.94257,0
-84.763193,31.1882,4.4,9.1,54.862,166,713143.928623,3452614.6973,0
-84.763202,31.188225,4.2,8.5,54.913,167,713143.024059,3452617.46293,0
-84.763211,31.18825,4.1,9.4,54.928,168,713142.053225,3452620.20503,0
-84.76322,31.188275,4.0,9.5,54.919,169,713141.157745,3452622.99302,0
-84.763229,31.1883,3.6,8.9,54.9,170,713140.262713,3452625.75883,0
-84.763237,31.188325,3.1,9.1,54.882,171,713139.405358,3452628.5476,0
-84.763246,31.188351,3.8,9.4,54.865,172,713138.481285,3452631.33501,0
-84.763254,31.188377,3.5,9.3,54.83,173,713137.698835,3452634.19183,0
-84.763261,31.188402,3.6,9.5,54.815,174,713136.93612,3452637.01578,0
-84.763271,31.188428,2.9,7.8,54.845,175,713135.992762,3452639.8139,0
-84.763282,31.188452,3.3,8.6,54.76,176,713134.898251,3452642.5424,0
-84.763291,31.188478,2.7,7.5,54.758,177,713133.983487,3452645.3411,0
-84.763299,31.188503,3.1,7.5,54.638,178,713133.125014,3452648.18529,0
-84.763308,31.188529,3.1,7.1,54.618,179,713132.191637,3452650.96143,0
-84.763317,31.188554,2.9,7.7,54.616,180,713131.28663,3452653.74922,0
-84.763326,31.188579,2.8,7.0,54.588,181,713130.353703,3452656.50318,0
-84.763335,31.188605,3.4,7.0,54.609,182,713129.456882,3452659.3577,0
-84.763344,31.18863,3.7,7.1,54.563,183,713128.590673,3452662.11301,0
-84.763353,31.188655,3.5,7.4,54.556,184,713127.676361,3452664.88952,0
-84.763361,31.18868,3.8,7.5,54.587,185,713126.790642,3452667.66662,0
-84.76337,31.188706,3.2,7.1,54.63,186,713125.875658,3452670.4764,0
-84.763379,31.188732,3.4,6.7,54.676,187,713124.987698,3452673.36437,0
-84.763388,31.188757,3.1,6.3,54.655,188,713124.111063,3452676.16383,0
-84.763396,31.188782,3.0,5.9,54.63,189,713123.263695,3452678.93061,0
-84.763404,31.188808,3.7,7.1,54.604,190,713122.444697,3452681.70906,0
-84.763413,31.188833,3.9,7.6,54.61,191,713121.520856,3452684.48539,0
-84.763423,31.188858,4.2,8.3,54.58,192,713120.568871,3452687.23896,0
-84.763431,31.188883,3.8,9.2,54.585,193,713119.66342,3452690.04893,0
-84.76344,31.188908,3.9,8.8,54.594,194,713118.768623,3452692.80366,0
-84.763448,31.188934,4.5,11.1,54.557,195,713117.921257,3452695.57045,0
-84.763457,31.188959,4.2,11.1,54.554,196,713117.016256,3452698.35825,0
-84.763467,31.188983,4.0,13.6,54.505,197,713116.093988,3452701.05697,0
-84.763475,31.189009,4.0,13.0,54.484,198,713115.188988,3452703.84476,0
-84.763483,31.189034,4.7,15.6,54.464,199,713114.378403,3452706.67884,0
-84.763492,31.189059,4.6,13.2,54.421,200,713113.445035,3452709.45497,0
