F1,F2,F3,F4,F5,ID,X,Y
-84.762637,31.186601,3.900000,8.100000,56.121000,"102",713200.44995100005,3452438.56815000018
-84.762646,31.186626,4.100000,9.000000,56.100000,"103",713199.54648300004,3452441.27833000012
-84.762656,31.186651,4.900000,9.200000,56.090000,"104",713198.59490899998,3452444.00973000005
-84.762664,31.186675,5.100000,9.700000,56.097000,"105",713197.78653100005,3452446.73292999994
-84.762672,31.186700,4.500000,8.300000,56.127000,"106",713196.89237100002,3452449.45440000016
-84.762681,31.186725,4.400000,9.900000,56.154000,"107",713196.06448199996,3452452.19939000020
-84.762689,31.186750,4.400000,10.200000,56.137000,"108",713195.17009899998,3452454.93194000004
-84.762698,31.186774,4.100000,9.500000,56.154000,"109",713194.31451399997,3452457.63200000022
-84.762707,31.186799,4.000000,9.000000,56.176000,"110",713193.37269800005,3452460.35251000011
-84.762713,31.186824,3.400000,9.000000,56.271000,"111",713192.73498900002,3452463.12351999991
-84.762722,31.186849,3.100000,7.500000,56.285000,"112",713191.85922099999,3452465.87863999978
-84.762731,31.186873,3.000000,7.300000,56.258000,"113",713190.93736700004,3452468.55518000014
-84.762740,31.186898,2.900000,6.700000,56.253000,"114",713190.04276099999,3452471.29882000014
-84.762748,31.186923,2.700000,6.400000,56.212000,"115",713189.17674999998,3452474.04303999990
-84.762758,31.186948,3.000000,7.400000,56.229000,"116",713188.21609899995,3452476.75206999993
-84.762766,31.186973,3.000000,9.300000,56.203000,"117",713187.38754100003,3452479.53031999990
-84.762775,31.186998,3.700000,9.100000,56.194000,"118",713186.50269300002,3452482.26305999979
-84.762783,31.187023,3.400000,9.800000,56.120000,"119",713185.59900599997,3452484.98433999997
-84.762792,31.187047,3.800000,9.300000,56.056000,"120",713184.71371000004,3452487.73926000018
-84.762800,31.187072,3.900000,8.800000,56.009000,"121",713183.88605099998,3452490.47316000005
-84.762809,31.187097,4.900000,10.000000,55.997000,"122",713182.95354799996,3452493.20494000008
-84.762820,31.187122,3.900000,8.300000,55.930000,"123",713181.91709799995,3452495.89025999978
-84.762829,31.187147,4.600000,8.900000,55.908000,"124",713180.99300500005,3452498.67767000012
-84.762838,31.187172,3.800000,8.300000,55.870000,"125",713180.05097200000,3452501.40926000010
-84.762847,31.187197,3.800000,8.800000,55.811000,"126",713179.15614700003,3452504.16398000019
-84.762855,31.187221,3.300000,8.400000,55.752000,"127",713178.29036500002,3452506.89711999986
-84.762864,31.187247,3.600000,7.600000,55.673000,"128",713177.41437899997,3452509.66331999982
-84.762872,31.187272,3.000000,7.600000,55.634000,"129",713176.57651799999,3452512.43029000005
-84.762881,31.187297,3.200000,6.600000,55.595000,"130",713175.67216399999,3452515.18482000008
-84.762889,31.187322,2.800000,6.400000,55.555000,"131",713174.82477299997,3452517.95159999980
-84.762898,31.187347,2.700000,6.100000,55.483000,"132",713173.94946100004,3452520.68453999981
-84.762907,31.187372,2.600000,6.300000,55.467000,"133",713173.05463899998,3452523.43926999997
-84.762915,31.187397,2.300000,5.900000,55.436000,"134",713172.25490599999,3452526.20701000001
-84.762923,31.187421,2.600000,6.200000,55.402000,"135",713171.35122600000,3452528.92829000019
-84.762933,31.187446,2.600000,6.400000,55.373000,"136",713170.41850399994,3452531.67115999991
-84.762941,31.187471,3.400000,6.600000,55.328000,"137",713169.54296999995,3452534.41518000001
-84.762950,31.187496,2.300000,5.900000,55.267000,"138",713168.65835399996,3452537.13683999982
-84.762959,31.187521,2.200000,5.700000,55.230000,"139",713167.74469600001,3452539.88010000018
-84.762967,31.187546,2.100000,5.100000,55.170000,"140",713166.88800200005,3452542.63560000015
-84.762976,31.187571,1.300000,3.900000,55.204000,"141",713165.96346799994,3452545.44517999981
-84.762985,31.187596,1.400000,4.100000,55.151000,"142",713165.04936199996,3452548.21060999995
-84.762995,31.187621,1.500000,3.600000,55.116000,"143",713164.08760099998,3452550.97507999977
-84.763005,31.187647,1.400000,3.800000,55.073000,"144",713163.10677800002,3452553.73915999988
-84.763014,31.187671,1.400000,3.400000,55.050000,"145",713162.11687200004,3452556.48087000009
-84.763023,31.187696,1.500000,3.300000,54.961000,"146",713161.22205500002,3452559.23559999978
-84.763032,31.187722,1.300000,3.600000,54.938000,"147",713160.36401799996,3452562.05762000009
-84.763040,31.187747,1.400000,3.600000,54.877000,"148",713159.56361700001,3452564.85862000007
